Caught,IconFile
1,098-krabby.svg
0,098-krabby-shiny.svg
1,099-kingler.svg
0,099-kingler-shiny.svg
1,100-voltorb.svg
0,100-voltorb-shiny.svg
1,101-electrode.svg
0,101-electrode-shiny.svg
1,102-exeggcute.svg
0,102-exeggcute-shiny.svg
1,103-exeggutor.svg
1,103-exeggutor-shiny.svg
1,103-exeggutor-alola.svg
1,103-exeggutor-alola-shiny.svg
1,104-cubone.svg
0,104-cubone-shiny.svg
1,105-marowak.svg
0,105-marowak-shiny.svg
1,105-marowak-alola.svg
0,105-marowak-alola-shiny.svg
1,106-hitmonlee.svg
0,106-hitmonlee-shiny.svg
1,107-hitmonchan.svg
0,107-hitmonchan-shiny.svg
1,108-lickitung.svg
0,108-lickitung-shiny.svg
1,109-koffing.svg
0,109-koffing-shiny.svg
1,110-weezing.svg
0,110-weezing-shiny.svg
1,111-rhyhorn.svg
0,111-rhyhorn-shiny.svg
1,112-rhydon.svg
0,112-rhydon-shiny.svg
1,113-chansey.svg
0,113-chansey-shiny.svg
1,114-tangela.svg
0,114-tangela-shiny.svg
1,115-kangaskhan.svg
0,115-kangaskhan-shiny.svg
1,116-horsea.svg
1,116-horsea-shiny.svg
1,117-seadra.svg
1,117-seadra-shiny.svg
1,118-goldeen.svg
0,118-goldeen-shiny.svg
1,119-seaking.svg
0,119-seaking-shiny.svg
1,120-staryu.svg
0,120-staryu-shiny.svg
1,121-starmie.svg
0,121-starmie-shiny.svg
1,122-mrmime.svg
0,122-mrmime-shiny.svg
1,123-scyther.svg
1,123-scyther-shiny.svg
1,124-jynx.svg
0,124-jynx-shiny.svg
1,125-electabuzz.svg
0,125-electabuzz-shiny.svg
1,126-magmar.svg
0,126-magmar-shiny.svg
1,127-pinsir.svg
0,127-pinsir-shiny.svg
1,128-tauros.svg
0,128-tauros-shiny.svg
1,129-magikarp.svg
1,129-magikarp-shiny.svg
1,130-gyarados.svg
1,130-gyarados-shiny.svg
1,131-lapras.svg
0,131-lapras-shiny.svg
1,132-ditto.svg
0,132-ditto-shiny.svg
1,133-eevee.svg
1,133-eevee-shiny.svg
